,ba_score,feel,look,overall,rDev,smell,taste,user_id
326,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,797368
327,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,88598
328,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,766963
329,4,N/A,N/A,N/A,+5.5%,N/A,N/A,843359
330,4.25,N/A,N/A,N/A,+12.1%,N/A,N/A,757412
331,4,N/A,N/A,N/A,+5.5%,N/A,N/A,591006
332,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,572189
333,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,838781
334,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,838682
335,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,835134
336,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,445751
337,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,835941
338,4,N/A,N/A,N/A,+5.5%,N/A,N/A,118980
339,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,658541
340,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,748062
341,4.25,N/A,N/A,N/A,+12.1%,N/A,N/A,769541
342,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,820483
343,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,795755
344,4,N/A,N/A,N/A,+5.5%,N/A,N/A,801898
345,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,833495
346,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,335323
347,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,831459
348,4.25,N/A,N/A,N/A,+12.1%,N/A,N/A,789398
349,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,671504
350,4,N/A,N/A,N/A,+5.5%,N/A,N/A,819304
351,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,319471
352,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,828469
353,4.25,N/A,N/A,N/A,+12.1%,N/A,N/A,784003
354,4.5,N/A,N/A,N/A,+18.7%,N/A,N/A,759472
355,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,761846
356,4,N/A,N/A,N/A,+5.5%,N/A,N/A,826529
357,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,820846
358,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,819528
359,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,298865
360,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,566410
361,4.25,N/A,N/A,N/A,+12.1%,N/A,N/A,697304
362,4,N/A,N/A,N/A,+5.5%,N/A,N/A,823862
363,3.5,N/A,N/A,N/A,-7.7%,N/A,N/A,815732
364,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,816197
365,4,N/A,N/A,N/A,+5.5%,N/A,N/A,689431
366,3.75,N/A,N/A,N/A,-1.1%,N/A,N/A,681330
367,3.25,N/A,N/A,N/A,-14.2%,N/A,N/A,288024
